id,slaveId,datStart,datEnd,duration,channel1,channel2,channel3,channel4,error
153,2,2021-09-08 20:10:10.187,2021-09-08 20:10:10.560,0,1,2,3,0,0
154,2,2021-09-08 20:10:10.560,2021-09-08 20:10:41.960,31,0,0,0,0,0
155,2,2021-09-08 20:10:41.960,2021-09-09 09:44:14.657,48813,0,0,0,0,1
156,2,2021-09-09 09:44:14.657,2021-09-09 09:44:43.767,29,0,0,0,0,0
157,2,2021-09-09 09:44:43.767,2021-09-09 10:01:21.950,998,1,2,3,0,0
158,2,2021-09-09 10:01:21.950,2021-09-09 10:09:41.877,500,1,0,3,0,0
159,2,2021-09-09 10:09:41.877,2021-09-09 10:26:21.873,1000,1,2,3,0,0
160,2,2021-09-09 10:26:21.873,2021-09-09 10:34:41.853,500,1,0,3,0,0
161,2,2021-09-09 10:34:41.853,2021-09-09 10:51:21.853,1000,1,2,3,0,0
162,2,2021-09-09 10:51:21.853,2021-09-09 10:58:26.187,424,1,0,3,0,0
163,2,2021-09-09 10:58:26.187,2021-09-09 11:52:22.087,3236,0,0,0,0,1
164,2,2021-09-09 11:52:22.087,2021-09-09 12:06:21.797,840,1,2,3,0,0
165,2,2021-09-09 12:06:21.797,2021-09-09 12:14:41.753,500,1,0,3,0,0
166,2,2021-09-09 12:14:41.753,2021-09-09 12:31:21.750,1000,1,2,3,0,0
167,2,2021-09-09 12:31:21.750,2021-09-09 12:39:41.750,500,1,0,3,0,0
168,2,2021-09-09 12:39:41.750,2021-09-09 12:56:21.733,1000,1,2,3,0,0
169,2,2021-09-09 12:56:21.733,2021-09-09 13:04:41.697,500,1,0,3,0,0
170,2,2021-09-09 13:04:41.697,2021-09-09 13:21:21.687,1000,1,2,3,0,0
171,2,2021-09-09 13:21:21.687,2021-09-09 13:29:43.320,502,1,0,3,0,0
172,2,2021-09-09 13:29:43.320,2021-09-09 13:46:21.677,998,1,2,3,0,0
173,2,2021-09-09 13:46:21.677,2021-09-09 13:54:42.297,501,1,0,3,0,0
174,2,2021-09-09 13:54:42.297,2021-09-09 14:00:48.797,366,1,2,3,0,0
175,2,2021-09-09 14:00:48.797,2021-09-09 14:07:01.020,372,0,0,0,0,1
176,2,2021-09-09 14:07:01.020,2021-09-09 14:11:21.660,261,1,2,3,0,0
177,2,2021-09-09 14:11:21.660,2021-09-09 14:19:41.607,500,1,0,3,0,0
178,2,2021-09-09 14:19:41.607,2021-09-09 14:36:21.630,1000,1,2,3,0,0
179,2,2021-09-09 14:36:21.630,2021-09-09 14:44:41.600,500,1,0,3,0,0
180,2,2021-09-09 14:44:41.600,2021-09-09 15:01:21.600,1000,1,2,3,0,0
181,2,2021-09-09 15:01:21.600,2021-09-09 15:09:41.577,500,1,0,3,0,0
182,2,2021-09-09 15:09:41.577,2021-09-09 15:26:21.567,1000,1,2,3,0,0
183,2,2021-09-09 15:26:21.567,2021-09-09 15:34:41.557,500,1,0,3,0,0
184,2,2021-09-09 15:34:41.557,2021-09-09 15:51:21.553,1000,1,2,3,0,0
185,2,2021-09-09 15:51:21.553,2021-09-09 15:59:41.527,500,1,0,3,0,0
186,2,2021-09-09 15:59:41.527,2021-09-09 16:16:21.540,1000,1,2,3,0,0
187,2,2021-09-09 16:16:21.540,2021-09-09 16:24:41.507,500,1,0,3,0,0
188,2,2021-09-09 16:24:41.507,2021-09-09 16:41:21.500,1000,1,2,3,0,0
189,2,2021-09-09 16:41:21.500,2021-09-09 16:49:41.460,500,1,0,3,0,0
190,2,2021-09-09 16:49:41.460,2021-09-09 17:06:21.457,1000,1,2,3,0,0
191,2,2021-09-09 17:06:21.457,2021-09-09 17:14:41.427,500,1,0,3,0,0
192,2,2021-09-09 17:14:41.427,2021-09-09 17:31:21.463,1000,1,2,3,0,0
193,2,2021-09-09 17:31:21.463,2021-09-09 17:39:42.047,501,1,0,3,0,0
194,2,2021-09-09 17:39:42.047,2021-09-09 17:51:38.103,716,1,2,3,0,0
195,2,2021-09-09 17:51:38.103,2021-09-09 17:52:12.440,34,0,0,0,0,0
196,2,2021-09-09 17:52:12.440,2021-09-10 17:08:54.493,83802,0,0,0,0,1
197,2,2021-09-10 17:08:54.493,2021-09-10 17:09:21.967,27,0,0,0,0,0
198,2,2021-09-10 17:09:21.967,2021-09-10 17:26:01.910,1000,1,2,3,0,0
199,2,2021-09-10 17:26:01.910,2021-09-10 17:34:21.887,500,1,0,3,0,0
200,2,2021-09-10 17:34:21.887,2021-09-10 17:51:01.887,1000,1,2,3,0,0
201,2,2021-09-10 17:51:01.887,2021-09-10 17:59:21.860,500,1,0,3,0,0
202,2,2021-09-10 17:59:21.860,2021-09-10 18:16:01.847,1000,1,2,3,0,0
203,2,2021-09-10 18:16:01.847,2021-09-10 18:24:21.823,500,1,0,3,0,0
204,2,2021-09-10 18:24:21.823,2021-09-10 18:41:01.817,1000,1,2,3,0,0
205,2,2021-09-10 18:41:01.817,2021-09-10 18:49:21.813,500,1,0,3,0,0
206,2,2021-09-10 18:49:21.813,2021-09-10 19:06:01.790,1000,1,2,3,0,0
207,2,2021-09-10 19:06:01.790,2021-09-10 19:14:21.747,500,1,0,3,0,0
208,2,2021-09-10 19:14:21.747,2021-09-10 19:31:01.760,1000,1,2,3,0,0
209,2,2021-09-10 19:31:01.760,2021-09-10 19:39:21.727,500,1,0,3,0,0
210,2,2021-09-10 19:39:21.727,2021-09-10 19:56:01.730,1000,1,2,3,0,0
211,2,2021-09-10 19:56:01.730,2021-09-10 20:04:21.723,500,1,0,3,0,0
212,2,2021-09-10 20:04:21.723,2021-09-10 20:17:26.250,785,1,2,3,0,0
